epoch,loss,output_1_accuracy,output_1_loss,output_2_accuracy,output_2_loss,output_3_accuracy,output_3_loss,output_4_accuracy,output_4_loss,output_5_accuracy,output_5_loss,val_loss,val_output_1_accuracy,val_output_1_loss,val_output_2_accuracy,val_output_2_loss,val_output_3_accuracy,val_output_3_loss,val_output_4_accuracy,val_output_4_loss,val_output_5_accuracy,val_output_5_loss
0,7.038869380950928,0.5927487015724182,1.391528606414795,0.587496817111969,1.418327808380127,0.5925183892250061,1.3768543004989624,0.5899845957756042,1.3925197124481201,0.574021577835083,1.459720253944397,5.413860321044922,0.7152366638183594,0.9332196116447449,0.6913831233978271,1.0538947582244873,0.6577292680740356,1.1788203716278076,0.7124630212783813,0.9986298084259033,0.6238905191421509,1.2492003440856934
1,3.1448824405670166,0.8012346625328064,0.6261130571365356,0.792136013507843,0.6527338624000549,0.7990924119949341,0.6294446587562561,0.8050584197044373,0.61461341381073,0.8013728857040405,0.622020959854126,7.580187797546387,0.557692289352417,2.0788791179656982,0.7616494297981262,0.7943086624145508,0.6122411489486694,1.565029501914978,0.6066938042640686,1.5706707239151,0.6090976595878601,1.5712370872497559
2,2.2739648818969727,0.8527629971504211,0.45678478479385376,0.8488010764122009,0.4692176282405853,0.8530624508857727,0.45794183015823364,0.8584986329078674,0.443897008895874,0.8549743294715881,0.4461333751678467,4.390146732330322,0.7958579659461975,0.7207260727882385,0.6830621361732483,1.2830456495285034,0.824889063835144,0.5563147664070129,0.7022929191589355,1.212241291999817,0.8204512000083923,0.6179684996604919
3,1.8146311044692993,0.8796443343162537,0.3703852891921997,0.8792988061904907,0.3736732602119446,0.8810264468193054,0.3685423731803894,0.8857945799827576,0.35017675161361694,0.8859097361564636,0.3518460690975189,1.995400309562683,0.8690828680992126,0.42594340443611145,0.856139063835144,0.46978479623794556,0.8740754723548889,0.4059978723526001,0.8966346383094788,0.33535870909690857,0.889238178730011,0.3582412600517273
4,1.5728013515472412,0.893971860408783,0.32691648602485657,0.8949853777885437,0.3218059837818146,0.8973809480667114,0.3165247440338135,0.9017114639282227,0.3016604483127594,0.8991546034812927,0.30588603019714355,4.7158403396606445,0.8150887489318848,0.6555085778236389,0.7899408340454102,0.8312772512435913,0.7065458297729492,1.1831800937652588,0.8023298978805542,0.6777542233467102,0.6706730723381042,1.3680708408355713
5,1.3905365467071533,0.9043604731559753,0.2931462526321411,0.906180202960968,0.2880419194698334,0.9078156352043152,0.2794792950153351,0.9140580296516418,0.2634398341178894,0.9128832221031189,0.2664324641227722,10.010077476501465,0.5593565106391907,2.6669719219207764,0.5711908340454102,2.0963191986083984,0.5251479148864746,2.4974429607391357,0.6089127063751221,1.8045228719711304,0.7581360936164856,0.9449838399887085
6,1.2656391859054565,0.9144495725631714,0.2653743326663971,0.9131826758384705,0.2637915313243866,0.9176744222640991,0.25402721762657166,0.9214290380477905,0.24024496972560883,0.9217745661735535,0.24219897389411926,2.1593775749206543,0.7773668766021729,0.7788110971450806,0.8605769276618958,0.4726201891899109,0.9380547404289246,0.2129107564687729,0.9029216170310974,0.3153008818626404,0.8811020851135254,0.3797135353088379
7,1.1784530878067017,0.9187340140342712,0.24878241121768951,0.9195172190666199,0.24744804203510284,0.925091564655304,0.2328891158103943,0.9278096556663513,0.22338780760765076,0.9262202382087708,0.22594057023525238,6.696210861206055,0.7396449446678162,1.049875259399414,0.6727070808410645,1.3534826040267944,0.6575443744659424,1.4562511444091797,0.6573594808578491,1.6068284511566162,0.6961908340454102,1.229830026626587
8,1.0778751373291016,0.9262893795967102,0.22795964777469635,0.9279248118400574,0.22433046996593475,0.9291226267814636,0.21328653395175934,0.9334991574287415,0.2060350775718689,0.9329463243484497,0.20626860857009888,2.663250684738159,0.8936760425567627,0.3654331862926483,0.8563239574432373,0.5173071026802063,0.8544748425483704,0.4583170413970947,0.784023642539978,0.8265568614006042,0.8592825531959534,0.49565157294273376
9,1.0186477899551392,0.9285006523132324,0.21811452507972717,0.9293529391288757,0.2149437814950943,0.9343053698539734,0.19876249134540558,0.9379678964614868,0.19223949313163757,0.9352267980575562,0.19458238780498505,1.6934947967529297,0.8855399489402771,0.3830440938472748,0.8772189617156982,0.39196038246154785,0.9230769276618958,0.25033441185951233,0.870377242565155,0.4425552189350128,0.9313979148864746,0.22564873099327087
